statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009012702;2.5;1100
20303;2009012703;2.5;1100
20303;2009012704;2.5;1100
20303;2009012705;2.5;1100
20303;2009012706;2.5;1100
20303;2009012707;2.4;1100
20303;2009012708;2.4;1100
20303;2009012709;2.5;1100
20303;2009012710;2.5;1100
20303;2009012711;2.5;1100
20303;2009012712;2.5;1100
20303;2009012713;2.4;1100
20303;2009012714;2.4;1100
20303;2009012715;2.4;1100
20303;2009012716;2.4;1100
20303;2009012717;2.4;1100
20303;2009012718;2.4;1100
20303;2009012719;2.4;1100
20303;2009012720;2.4;1100
20303;2009012721;2.4;1100
20303;2009012722;2.4;1100
20303;2009012723;2.4;1100
20303;2009012800;2.3;1100
20303;2009012801;2.4;1100
20303;2009012802;2.4;1100
20303;2009012803;2.4;1100
20303;2009012804;2.3;1100
20303;2009012805;2.3;1100
20303;2009012806;2.2;1100
20303;2009012807;2.2;1100
20303;2009012808;2.1;1100
20303;2009012809;2.4;1100
20303;2009012810;2.3;1100
20303;2009012811;2.3;1100
20303;2009012812;2.3;1100
20303;2009012813;2.3;1100
20303;2009012814;2.3;1100
20303;2009012815;2.3;1100
20303;2009012816;2.3;1100
20303;2009012817;2.3;1100
20303;2009012818;2.3;1100
20303;2009012819;2.3;1100
20303;2009012820;2.3;1100
20303;2009012821;2.3;1100
20303;2009012822;2.3;1100
20303;2009012823;2.2;1100
20303;2009012900;2.2;1100
20303;2009012901;2.2;1100
20303;2009012902;2.2;1100
20303;2009012903;2.1;1100
20303;2009012904;2.2;1100
20303;2009012905;2.1;1100
20303;2009012906;1.9;1100
20303;2009012907;2;1100
20303;2009012908;2;1100
20303;2009012909;2.1;1100
20303;2009012910;2.1;1100
20303;2009012911;2.1;1100
20303;2009012912;2.1;1100
20303;2009012913;2.1;1100
20303;2009012914;2.1;1100
20303;2009012915;2.1;1100
20303;2009012916;2;1100
20303;2009012917;2.1;1100
20303;2009012918;2.1;1100
20303;2009012919;2;1100
20303;2009012920;1.9;1100
20303;2009012921;1.9;1100
20303;2009012922;2;1100
20303;2009012923;2;1100
20303;2009013000;2;1100
20303;2009013001;2.1;1100
20303;2009013002;2.1;1100
20303;2009013003;2;1100
20303;2009013004;2.1;1100
20303;2009013005;2.1;1100
20303;2009013006;1.8;1100
20303;2009013007;2.1;1100
20303;2009013008;1.9;1100
20303;2009013009;1.9;1100
20303;2009013010;2;1100
20303;2009013011;2;1100
20303;2009013012;1.9;1100
20303;2009013013;1.8;1100
20303;2009013014;1.9;1100
20303;2009013015;1.8;1100
20303;2009013016;1.9;1100
20303;2009013017;1.9;1100
20303;2009013018;1.9;1100
20303;2009013019;1.7;1100
20303;2009013020;1.5;1100
20303;2009013021;1.7;1100
20303;2009013022;1.7;1100
20303;2009013023;1.7;1100
20303;2009013100;1.7;1100
20303;2009013101;1.7;1100
20303;2009013102;1.7;1100
20303;2009013103;1.7;1100
20303;2009013104;1.7;1100
20303;2009013105;1.7;1100
20303;2009013106;1.8;1100
20303;2009013107;1.8;1100
20303;2009013108;1.7;1100
20303;2009013109;1.7;1100
20303;2009013110;1.7;1100
20303;2009013111;1.8;1100
20303;2009013112;1.8;1100
20303;2009013113;1.9;1100
20303;2009013114;1.9;1100
20303;2009013115;1.9;1100
20303;2009013116;1.9;1100
20303;2009013117;1.9;1100
20303;2009013118;1.9;1100
20303;2009013119;1.8;1100
20303;2009013120;1.9;1100
20303;2009013121;1.9;1100
20303;2009013122;1.8;1100
20303;2009013123;1.8;1100
20303;2009020100;1.8;1100
20303;2009020101;1.9;1100
20303;2009020102;1.9;1100
20303;2009020103;1.9;1100
20303;2009020104;2;1100
20303;2009020105;2;1100
20303;2009020106;2;1100
20303;2009020107;2.1;1100
20303;2009020108;2;1100
20303;2009020109;2;1100
20303;2009020110;2.1;1100
20303;2009020111;2.3;1100
20303;2009020112;2.2;1100
20303;2009020113;2.2;1100
20303;2009020114;2.2;1100
20303;2009020115;2.2;1100
20303;2009020116;2.2;1100
20303;2009020117;2.2;1100
20303;2009020118;2.3;1100
20303;2009020119;2.3;1100
20303;2009020120;2.3;1100
20303;2009020121;2.4;1100
20303;2009020122;2.4;1100
20303;2009020123;2.4;1100
20303;2009020200;2.6;1100
20303;2009020201;2.7;1100
20303;2009020202;2.8;1100
20303;2009020203;2.5;1100
20303;2009020204;2.8;1100
20303;2009020205;2.8;1100
20303;2009020206;3;1100
20303;2009020207;2.9;1100
20303;2009020208;2.9;1100
20303;2009020209;3.2;1100
20303;2009020210;3.4;1100
20303;2009020211;3.5;1100
20303;2009020212;3.5;1100
20303;2009020213;3.5;1100
20303;2009020214;3.6;1100
20303;2009020215;3.6;1100
20303;2009020216;3.6;1100
20303;2009020217;3.6;1100
20303;2009020218;3.5;1100
20303;2009020219;3.5;1100
20303;2009020220;3.5;1100
20303;2009020221;3.5;1100
20303;2009020222;3.5;1100
20303;2009020223;3.5;1100
20303;2009020300;3.4;1100
20303;2009020301;3.4;1100
20303;2009020302;3.4;1100
20303;2009020303;3.3;1100
20303;2009020304;3.3;1100
20303;2009020305;3.2;1100
20303;2009020306;3.2;1100
