statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
610900;2009012611; 6.6233;1000
610900;2009012612; 6.7675;1000
610900;2009012613; 6.8566;1000
610900;2009012614; 6.8707;1000
610900;2009012615; 6.8410;1000
610900;2009012616; 6.8007;1000
610900;2009012617; 6.7812;1000
610900;2009012618; 6.7862;1000
610900;2009012619; 6.7885;1000
610900;2009012620; 6.7659;1000
610900;2009012621; 6.7215;1000
610900;2009012622; 6.7096;1000
610900;2009012623; 6.5042;1000
610900;2009012700; 6.3533;1000
610900;2009012701; 6.2661;1000
610900;2009012702; 6.2336;1000
610900;2009012703; 6.1887;1000
610900;2009012704; 6.1150;1000
610900;2009012705; 6.0248;1000
610900;2009012706; 5.9951;1000
610900;2009012707; 6.0243;1000
610900;2009012708; 6.0764;1000
610900;2009012709; 6.1100;1000
610900;2009012710; 6.1691;1000
610900;2009012711; 6.2856;1000
610900;2009012712; 6.3541;1000
610900;2009012713; 6.2872;1000
610900;2009012714; 6.1835;1000
610900;2009012715; 6.0667;1000
610900;2009012716; 5.9326;1000
610900;2009012717; 5.8067;1000
610900;2009012718; 5.7604;1000
610900;2009012719; 5.7719;1000
610900;2009012720; 5.7737;1000
610900;2009012721; 5.7408;1000
610900;2009012722; 5.8473;1000
610900;2009012723; 5.8415;1000
610900;2009012800; 5.8724;1000
610900;2009012801; 5.9695;1000
610900;2009012802; 6.0833;1000
610900;2009012803; 6.2031;1000
610900;2009012804; 6.3440;1000
610900;2009012805; 6.4780;1000
610900;2009012806; 6.6044;1000
610900;2009012807; 6.7545;1000
610900;2009012808; 6.8754;1000
610900;2009012809; 6.9780;1000
610900;2009012810; 7.2396;1000
610900;2009012811; 7.3642;1000
610900;2009012812; 7.4579;1000
610900;2009012813; 7.5083;1000
610900;2009012814; 7.7172;1000
610900;2009012815; 7.9066;1000
610900;2009012816; 7.9836;1000
610900;2009012817; 8.1727;1000
610900;2009012818; 8.5385;1000
610900;2009012819; 8.8917;1000
610900;2009012820; 9.1094;1000
610900;2009012821; 9.2719;1000
610900;2009012822; 9.1684;1000
610900;2009012823; 9.1346;1000
610900;2009012900; 9.0397;1000
610900;2009012901; 8.9231;1000
610900;2009012902; 8.6936;1000
610900;2009012903; 8.3297;1000
610900;2009012904; 7.9389;1000
610900;2009012905; 7.6045;1000
610900;2009012906; 7.2652;1000
610900;2009012907; 6.8553;1000
610900;2009012908; 6.4871;1000
610900;2009012909; 6.1829;1000
610900;2009012910; 6.1344;1000
610900;2009012911; 5.8437;1000
610900;2009012912; 5.5752;1000
610900;2009012913; 5.4623;1000
610900;2009012914; 5.4955;1000
610900;2009012915; 5.4641;1000
610900;2009012916; 5.3682;1000
610900;2009012917; 5.2397;1000
610900;2009012918; 5.1288;1000
610900;2009012919; 5.0929;1000
610900;2009012920; 5.0805;1000
610900;2009012921; 5.0350;1000
610900;2009012922; 5.1771;1000
610900;2009012923; 5.2273;1000
610900;2009013000; 5.2479;1000
610900;2009013001; 5.1576;1000
610900;2009013002; 5.0968;1000
610900;2009013003; 5.1939;1000
610900;2009013004; 5.2563;1000
610900;2009013005; 5.2094;1000
610900;2009013006; 5.1902;1000
610900;2009013007; 5.2365;1000
610900;2009013008; 5.2156;1000
610900;2009013009; 5.1652;1000
610900;2009013010; 5.4813;1000
610900;2009013011; 5.5290;1000
610900;2009013012; 5.7581;1000
610900;2009013013; 6.0727;1000
610900;2009013014; 6.2598;1000
610900;2009013015; 6.3079;1000
610900;2009013016; 6.3370;1000
610900;2009013017; 6.4485;1000
610900;2009013018; 6.5202;1000
610900;2009013019; 6.5890;1000
610900;2009013020; 6.6849;1000
610900;2009013021; 6.7546;1000
610900;2009013022; 6.8943;1000
610900;2009013023; 7.1572;1000
610900;2009013100; 7.4614;1000
610900;2009013101; 7.5455;1000
