statid;timeobs;Diffuse_irradiance_mean_[W/m^2];Quality_label
619700;2010110711;115.1;1000
619700;2010110712;106.7;1000
619700;2010110713;104.9;1000
619700;2010110714;71.6;1000
619700;2010110715;22.9;1000
619700;2010110716;1;1000
619700;2010110717;0;1000
619700;2010110718;0;1000
619700;2010110719;0;1000
619700;2010110720;0;1000
619700;2010110721;0;1000
619700;2010110722;0;1000
619700;2010110723;0;1000
619700;2010110800;0;1000
619700;2010110801;0;1000
619700;2010110802;0;1000
619700;2010110803;0;1000
619700;2010110804;0;1000
619700;2010110805;0;1000
619700;2010110806;0;1000
619700;2010110807;5;1000
619700;2010110808;25;1000
619700;2010110809;30;1000
619700;2010110810;37;1000
619700;2010110811;44;1000
619700;2010110812;46;1000
619700;2010110813;45;1000
619700;2010110814;13;1000
619700;2010110815;4;1000
619700;2010110816;0;1000
619700;2010110817;0;1000
619700;2010110818;0;1000
619700;2010110819;0;1000
619700;2010110820;0;1000
619700;2010110821;0;1000
619700;2010110822;0;1000
619700;2010110823;0;1000
619700;2010110900;0;1000
619700;2010110901;0;1000
619700;2010110902;0;1000
619700;2010110903;0;1000
619700;2010110904;0;1000
619700;2010110905;0;1000
619700;2010110906;0;1000
619700;2010110907;3;1000
619700;2010110908;15;1000
619700;2010110909;44;1000
619700;2010110910;32;1000
619700;2010110911;69;1000
619700;2010110912;95.1;1000
619700;2010110913;82.1;1000
619700;2010110914;58.7;1000
619700;2010110915;12;1000
619700;2010110916;0;1000
619700;2010110917;0;1000
619700;2010110918;0;1000
619700;2010110919;0;1000
619700;2010110920;0;1000
619700;2010110921;0;1000
619700;2010110922;0;1000
619700;2010110923;0;1000
619700;2010111000;0;1000
619700;2010111001;0;1000
619700;2010111002;0;1000
619700;2010111003;0;1000
619700;2010111004;0;1000
619700;2010111005;0;1000
619700;2010111006;0;1000
619700;2010111007;1;1000
619700;2010111008;16;1000
619700;2010111009;53.9;1000
619700;2010111010;71;1000
619700;2010111011;70;1000
619700;2010111012;56;1000
619700;2010111013;66.8;1000
619700;2010111014;46.8;1000
619700;2010111015;12;1000
619700;2010111016;1;1000
619700;2010111017;0;1000
619700;2010111018;0;1000
619700;2010111019;0;1000
619700;2010111020;0;1000
619700;2010111021;0;1000
619700;2010111022;0;1000
619700;2010111023;0;1000
619700;2010111100;0;1000
619700;2010111101;0;1000
619700;2010111102;0;1000
619700;2010111103;0;1000
619700;2010111104;0;1000
619700;2010111105;0;1000
619700;2010111106;0;1000
619700;2010111107;5.9;1000
619700;2010111108;26.9;1000
619700;2010111109;86.9;1000
619700;2010111110;106.5;1000
619700;2010111111;134;1000
619700;2010111112;117.3;1000
619700;2010111113;63.6;1000
619700;2010111114;53;1000
619700;2010111115;13;1000
