 statid;timeobs;Diffuse_illuminance_mean_[lx];Quality_label
610900;2009020121;     0;1000
610900;2009020122;     0;1000
610900;2009020123;     0;1000
610900;2009020200;     0;1000
610900;2009020201;     0;1000
610900;2009020202;     0;1000
610900;2009020203;     0;1000
610900;2009020204;     0;1000
610900;2009020205;     0;1000
610900;2009020206;     0;1000
610900;2009020207;     0;1000
610900;2009020208;   203;1000
610900;2009020209;  1175;1000
610900;2009020210;  1910;1000
610900;2009020211;  2629;1000
610900;2009020212;  3822;1000
610900;2009020213;  5396;1000
610900;2009020214;  5864;1000
610900;2009020215;  3209;1000
610900;2009020216;   775;1000
610900;2009020217;     0;1000
610900;2009020218;     0;1000
610900;2009020219;     0;1000
610900;2009020220;     0;1000
610900;2009020221;     0;1000
610900;2009020222;     0;1000
610900;2009020223;     0;1000
610900;2009020300;     0;1000
610900;2009020301;     0;1000
610900;2009020302;     0;1000
610900;2009020303;     0;1000
610900;2009020304;     0;1000
610900;2009020305;     0;1000
610900;2009020306;     0;1000
610900;2009020307;     0;1000
610900;2009020308;   204;1000
610900;2009020309;  1372;1000
610900;2009020310;  2219;1000
610900;2009020311;  5164;1000
610900;2009020312;  5344;1000
610900;2009020313;  5099;1000
610900;2009020314;  3265;1000
610900;2009020315;  1414;1000
610900;2009020316;   319;1000
610900;2009020317;     0;1000
610900;2009020318;     0;1000
610900;2009020319;     0;1000
610900;2009020320;     0;1000
610900;2009020321;     0;1000
610900;2009020322;     0;1000
610900;2009020323;     0;1000
610900;2009020400;     0;1000
610900;2009020401;     0;1000
610900;2009020402;     0;1000
610900;2009020403;     0;1000
610900;2009020404;     0;1000
610900;2009020405;     0;1000
610900;2009020406;     0;1000
610900;2009020407;     0;1000
610900;2009020408;   110;1000
610900;2009020409;   782;1000
610900;2009020410;  1814;1000
610900;2009020411;  1997;1000
610900;2009020412;  2025;1000
610900;2009020413;  2010;1000
610900;2009020414;  2877;1000
610900;2009020415;  1818;1000
610900;2009020416;   514;1000
610900;2009020417;     0;1000
610900;2009020418;     0;1000
610900;2009020419;     0;1000
610900;2009020420;     0;1000
610900;2009020421;     0;1000
610900;2009020422;     0;1000
610900;2009020423;     0;1000
610900;2009020500;     0;1000
610900;2009020501;     0;1000
610900;2009020502;     0;1000
610900;2009020503;     0;1000
610900;2009020504;     0;1000
610900;2009020505;     0;1000
610900;2009020506;     0;1000
610900;2009020507;     0;1000
610900;2009020508;  1296;1000
610900;2009020509;  4005;1000
610900;2009020510;  5834;1000
610900;2009020511;  8011;1000
610900;2009020512;  5391;1000
610900;2009020513;  3408;1000
610900;2009020514;  2892;1000
610900;2009020515;  1329;1000
610900;2009020516;   423;1000
610900;2009020517;     0;1000
610900;2009020518;     0;1000
610900;2009020519;     0;1000
610900;2009020520;     0;1000
610900;2009020521;     0;1000
610900;2009020522;     0;1000
610900;2009020523;     0;1000
610900;2009020600;     0;1000
610900;2009020601;     0;1000
610900;2009020602;     0;1000
610900;2009020603;     0;1000
610900;2009020604;     0;1000
610900;2009020605;     0;1000
610900;2009020606;     0;1000
610900;2009020607;     0;1000
610900;2009020608;     0;1000
610900;2009020609;   686;1000
610900;2009020610;  3551;1000
610900;2009020611;  4617;1000
610900;2009020612;  4789;1000
610900;2009020613;  4242;1000
610900;2009020614;  2796;1000
610900;2009020615;  1129;1000
610900;2009020616;   119;1000
610900;2009020617;     0;1000
