 statid;timeobs;Global_illuminance_mean[_lx];Quality_label
603100;2009012709;  2345;1000
603100;2009012710;  5073;1000
603100;2009012711;  8216;1000
603100;2009012712;  8349;1000
603100;2009012713;  4216;1000
603100;2009012714;  2532;1000
603100;2009012715;  1226;1000
603100;2009012716;   102;1000
603100;2009012717;     0;1000
603100;2009012718;     0;1000
603100;2009012719;     0;1000
603100;2009012720;     0;1000
603100;2009012721;     0;1000
603100;2009012722;     0;1000
603100;2009012723;     0;1000
603100;2009012800;     0;1000
603100;2009012801;     0;1000
603100;2009012802;     0;1000
603100;2009012803;     0;1000
603100;2009012804;     0;1000
603100;2009012805;     0;1000
603100;2009012806;     0;1000
603100;2009012807;     0;1000
603100;2009012808;   519;1000
603100;2009012809;  3096;1000
603100;2009012810;  3369;1000
603100;2009012811;  5070;1000
603100;2009012812;  6007;1000
603100;2009012813;  4709;1000
603100;2009012814;  4141;1000
603100;2009012815;  1419;1000
603100;2009012816;   194;1000
603100;2009012817;     0;1000
603100;2009012818;     0;1000
603100;2009012819;     0;1000
603100;2009012820;     0;1000
603100;2009012821;     0;1000
603100;2009012822;     0;1000
603100;2009012823;     0;1000
603100;2009012900;     0;1000
603100;2009012901;     0;1000
603100;2009012902;     0;1000
603100;2009012903;     0;1000
603100;2009012904;     0;1000
603100;2009012905;     0;1000
603100;2009012906;     0;1000
603100;2009012907;     0;1000
603100;2009012908;   100;1000
603100;2009012909;  1492;1000
603100;2009012910;  3290;1000
603100;2009012911;  4613;1000
603100;2009012912;  5169;1000
603100;2009012913;  4342;1000
603100;2009012914;  3415;1000
603100;2009012915;  1428;1000
603100;2009012916;   197;1000
603100;2009012917;     0;1000
603100;2009012918;     0;1000
603100;2009012919;     0;1000
603100;2009012920;     0;1000
603100;2009012921;     0;1000
603100;2009012922;     0;1000
603100;2009012923;     0;1000
603100;2009013000;     0;1000
603100;2009013001;     0;1000
603100;2009013002;     0;1000
603100;2009013003;     0;1000
603100;2009013004;     0;1000
603100;2009013005;     0;1000
603100;2009013006;     0;1000
603100;2009013007;     0;1000
603100;2009013008;   190;1000
603100;2009013009;  2386;1000
603100;2009013010;  4869;1000
603100;2009013011;  7633;1000
603100;2009013012;  6146;1000
603100;2009013013;  4552;1000
603100;2009013014;  3806;1000
603100;2009013015;  1714;1000
603100;2009013016;   200;1000
603100;2009013017;     0;1000
603100;2009013018;     0;1000
603100;2009013019;     0;1000
603100;2009013020;     0;1000
603100;2009013021;     0;1000
603100;2009013022;     0;1000
603100;2009013023;     0;1000
603100;2009013100;     0;1000
603100;2009013101;     0;1000
603100;2009013102;     0;1000
603100;2009013103;     0;1000
603100;2009013104;     0;1000
603100;2009013105;     0;1000
603100;2009013106;     0;1000
603100;2009013107;     0;1000
603100;2009013108;     0;1000
603100;2009013109;   451;1000
603100;2009013110;  4066;1000
603100;2009013111;  5791;1000
603100;2009013112;  5689;1000
603100;2009013113;  6569;1000
603100;2009013114;  4663;1000
603100;2009013115;  2450;1000
603100;2009013116;   379;1000
603100;2009013117;     0;1000
603100;2009013118;     0;1000
603100;2009013119;     0;1000
603100;2009013120;     0;1000
603100;2009013121;     0;1000
603100;2009013122;     0;1000
603100;2009013123;     0;1000
603100;2009020100;     0;1000
603100;2009020101;     0;1000
603100;2009020102;     0;1000
603100;2009020103;     0;1000
603100;2009020104;     0;1000
603100;2009020105;     0;1000
603100;2009020106;     0;1000
603100;2009020107;     0;1000
603100;2009020108;   195;1000
603100;2009020109;  2598;1000
603100;2009020110; 14909;1000
603100;2009020111; 20496;1000
603100;2009020112; 17407;1000
603100;2009020113; 25249;1000
603100;2009020114; 17355;1000
603100;2009020115;  9385;1000
603100;2009020116;  1607;1000
603100;2009020117;     0;1000
603100;2009020118;     0;1000
603100;2009020119;     0;1000
603100;2009020120;     0;1000
603100;2009020121;     0;1000
603100;2009020122;     0;1000
603100;2009020123;     0;1000
603100;2009020200;     0;1000
603100;2009020201;     0;1000
603100;2009020202;     0;1000
603100;2009020203;     0;1000
