statid;timeobs;radiation_mean(W/m^2);label
618800;2009020308;7;1100
618800;2009020309;29;1100
618800;2009020310;51;1100
618800;2009020311;60;1100
618800;2009020312;60;1100
618800;2009020313;54;1100
618800;2009020314;34;1100
618800;2009020315;14;1100
618800;2009020316;3;1100
618800;2009020317;0;1100
618800;2009020318;0;1100
618800;2009020319;0;1100
618800;2009020320;0;1100
618800;2009020321;0;1100
618800;2009020322;0;1100
618800;2009020323;0;1100
618800;2009020400;0;1100
618800;2009020401;0;1100
618800;2009020402;0;1100
618800;2009020403;0;1100
618800;2009020404;0;1100
618800;2009020405;0;1100
618800;2009020406;0;1100
618800;2009020407;0;1100
618800;2009020408;2;1100
618800;2009020409;10;1100
618800;2009020410;19;1100
618800;2009020411;22;1100
618800;2009020412;37;1100
618800;2009020413;42;1100
618800;2009020414;35;1100
618800;2009020415;28;1100
618800;2009020416;3;1100
618800;2009020417;0;1100
618800;2009020418;0;1100
618800;2009020419;0;1100
618800;2009020420;0;1100
618800;2009020421;0;1100
618800;2009020422;0;1100
618800;2009020423;0;1100
618800;2009020500;0;1100
618800;2009020501;0;1100
618800;2009020502;0;1100
618800;2009020503;0;1100
618800;2009020504;0;1100
618800;2009020505;0;1100
618800;2009020506;0;1100
618800;2009020507;0;1100
618800;2009020508;10;1100
618800;2009020509;26;1100
618800;2009020510;58;1100
618800;2009020511;84;1100
618800;2009020512;126;1100
618800;2009020513;66;1100
618800;2009020514;41;1100
618800;2009020515;23;1100
618800;2009020516;4;1100
618800;2009020517;0;1100
618800;2009020518;0;1100
618800;2009020519;0;1100
618800;2009020520;0;1100
618800;2009020521;0;1100
618800;2009020522;0;1100
618800;2009020523;0;1100
618800;2009020600;0;1100
618800;2009020601;0;1100
618800;2009020602;0;1100
618800;2009020603;0;1100
618800;2009020604;0;1100
618800;2009020605;0;1100
618800;2009020606;0;1100
618800;2009020607;1;1100
618800;2009020608;8;1100
618800;2009020609;11;1100
618800;2009020610;89;1100
618800;2009020611;68;1100
618800;2009020612;77;1100
618800;2009020613;53;1100
618800;2009020614;31;1100
618800;2009020615;15;1100
618800;2009020616;5;1100
