 statid;timeobs;Direct_normal_illuminance_mean_[lx];Quality_label
619700;2010112921;     0;1000
619700;2010112922;     0;1000
619700;2010112923;     0;1000
619700;2010113000;     0;1000
619700;2010113001;     0;1000
619700;2010113002;     0;1000
619700;2010113003;     0;1000
619700;2010113004;     0;1000
619700;2010113005;     0;1000
619700;2010113006;     0;1000
619700;2010113007;     0;1000
619700;2010113008;  4935;1000
619700;2010113009;  2816;1000
619700;2010113010;  5793;1000
619700;2010113011; 18900;1000
619700;2010113012; 16733;1000
619700;2010113013;  7306;1000
619700;2010113014;   551;1000
619700;2010113015;     0;1000
619700;2010113016;     0;1000
619700;2010113017;     0;1000
619700;2010113018;     0;1000
619700;2010113019;     0;1000
619700;2010113020;     0;1000
619700;2010113021;     0;1000
619700;2010113022;     0;1000
619700;2010113023;     0;1000
619700;2009120100;     0;1000
619700;2009120101;     0;1000
619700;2009120102;     0;1000
619700;2009120103;     0;1000
619700;2009120104;     0;1000
619700;2009120105;     0;1000
619700;2009120106;     0;1000
619700;2009120107;     0;1000
619700;2009120108;     0;1000
619700;2009120109;     0;1000
619700;2009120110;     0;1000
619700;2009120111;     0;1000
619700;2009120112;     0;1000
619700;2009120113;     0;1000
619700;2009120114;    62;1000
619700;2009120115;     0;1000
619700;2009120116;     0;1000
619700;2009120117;     0;1000
619700;2009120118;     0;1000
619700;2009120119;     0;1000
619700;2009120120;     0;1000
619700;2009120121;     0;1000
619700;2009120122;     0;1000
619700;2009120123;     0;1000
619700;2009120200;     0;1000
619700;2009120201;     0;1000
619700;2009120202;     0;1000
619700;2009120203;     0;1000
619700;2009120204;     0;1000
619700;2009120205;     0;1000
619700;2009120206;     0;1000
619700;2009120207;     0;1000
619700;2009120208;     0;1000
619700;2009120209;     0;1000
619700;2009120210;     0;1000
619700;2009120211;   108;1000
619700;2009120212;     0;1000
619700;2009120213;     0;1000
619700;2009120214;     0;1000
619700;2009120215;     0;1000
619700;2009120216;     0;1000
619700;2009120217;     0;1000
619700;2009120218;     0;1000
619700;2009120219;     0;1000
619700;2009120220;     0;1000
619700;2009120221;     0;1000
619700;2009120222;     0;1000
619700;2009120223;     0;1000
619700;2009120300;     0;1000
619700;2009120301;     0;1000
619700;2009120302;     0;1000
619700;2009120303;     0;1000
619700;2009120304;     0;1000
619700;2009120305;     0;1000
619700;2009120306;     0;1000
619700;2009120307;     0;1000
619700;2009120308;     0;1000
619700;2009120309;   214;1000
619700;2009120310;  3972;1000
619700;2009120311; 14178;1000
619700;2009120312; 28092;1000
619700;2009120313; 24716;1000
619700;2009120314; 14589;1000
619700;2009120315;     0;1000
619700;2009120316;     0;1000
619700;2009120317;     0;1000
619700;2009120318;     0;1000
619700;2009120319;     0;1000
619700;2009120320;     0;1000
619700;2009120321;     0;1000
619700;2009120322;     0;1000
619700;2009120323;     0;1000
619700;2009120400;     0;1000
619700;2009120401;     0;1000
619700;2009120402;     0;1000
619700;2009120403;     0;1000
619700;2009120404;     0;1000
619700;2009120405;     0;1000
619700;2009120406;     0;1000
619700;2009120407;     0;1000
